RegisterNumber,Name,Department,Program
SJC/24/CSE/201,Aarav Kumar,CSE,B.Tech
SJC/24/CSE/202,Vivaan Singh,CSE,B.Tech
SJC/24/CSE/203,Arjun Patel,CSE,MCA
SJC/24/CSE/204,Rohan Sharma,CSE,B.Tech
SJC/24/CSE/205,Aditya Verma,CSE,B.Tech
SJC/24/CSE/206,Priya Gupta,CSE,B.Tech
SJC/24/CSE/207,Anjali Reddy,CSE,M.Tech
SJC/24/CSE/208,Sneha Nair,CSE,B.Tech
SJC/24/CSE/209,Ravi Bhat,CSE,B.Tech
SJC/24/CSE/210,Amit Desai,CSE,B.Tech
SJC/24/ECE/211,Sanjay Iyer,ECE,B.Tech
SJC/24/ECE/212,Vikram Joshi,ECE,B.Tech
SJC/24/ECE/213,Mayank Kapoor,ECE,MCA
SJC/24/ECE/214,Harsh Malhotra,ECE,B.Tech
SJC/24/ECE/215,Nikhil Mishra,ECE,B.Tech
SJC/24/ECE/216,Pooja Pandey,ECE,B.Tech
SJC/24/ECE/217,Rachael Rao,ECE,M.Tech
SJC/24/ECE/218,Deepika Saxena,ECE,B.Tech
SJC/24/ECE/219,Neha Tripathi,ECE,B.Tech
SJC/24/ECE/220,Sara Upadhyay,ECE,B.Tech
SJC/24/ME/221,Rohit Kumar,ME,B.Tech
SJC/24/ME/222,Abhishek Singh,ME,B.Tech
SJC/24/ME/223,Akshay Patel,ME,MCA
SJC/24/ME/224,Anand Sharma,ME,B.Tech
SJC/24/ME/225,Aryan Verma,ME,B.Tech
SJC/24/ME/226,Divya Gupta,ME,B.Tech
SJC/24/ME/227,Isha Reddy,ME,M.Tech
SJC/24/ME/228,Jaya Nair,ME,B.Tech
SJC/24/ME/229,Kavya Bhat,ME,B.Tech
SJC/24/ME/230,Lakshmi Desai,ME,B.Tech
SJC/24/CIVIL/231,Madhav Iyer,CIVIL,B.Tech
SJC/24/CIVIL/232,Nandini Joshi,CIVIL,B.Tech
SJC/24/CIVIL/233,Omkar Kapoor,CIVIL,MCA
SJC/24/CIVIL/234,Pavana Malhotra,CIVIL,B.Tech
SJC/24/CIVIL/235,Quincy Mishra,CIVIL,B.Tech
SJC/24/CIVIL/236,Rajesh Pandey,CIVIL,B.Tech
SJC/24/CIVIL/237,Sameer Rao,CIVIL,M.Tech
SJC/24/CIVIL/238,Tanvi Saxena,CIVIL,B.Tech
SJC/24/CIVIL/239,Uday Tripathi,CIVIL,B.Tech
SJC/24/CIVIL/240,Varun Upadhyay,CIVIL,B.Tech
SJC/24/EEE/241,Aarav Reddy,EEE,B.Tech
SJC/24/EEE/242,Vivaan Nair,EEE,B.Tech
SJC/24/EEE/243,Arjun Bhat,EEE,MCA
SJC/24/EEE/244,Rohan Desai,EEE,B.Tech
SJC/24/EEE/245,Aditya Iyer,EEE,B.Tech
SJC/24/EEE/246,Priya Joshi,EEE,B.Tech
SJC/24/EEE/247,Anjali Kapoor,EEE,M.Tech
SJC/24/EEE/248,Sneha Malhotra,EEE,B.Tech
SJC/24/EEE/249,Ravi Mishra,EEE,B.Tech
SJC/24/EEE/250,Amit Pandey,EEE,B.Tech
SJC/24/IT/251,Sanjay Rao,IT,B.Tech
SJC/24/IT/252,Vikram Saxena,IT,B.Tech
SJC/24/IT/253,Mayank Tripathi,IT,MCA
SJC/24/IT/254,Harsh Upadhyay,IT,B.Tech
SJC/24/IT/255,Nikhil Kumar,IT,B.Tech
SJC/24/IT/256,Pooja Singh,IT,B.Tech
SJC/24/IT/257,Rachael Patel,IT,M.Tech
SJC/24/IT/258,Deepika Sharma,IT,B.Tech
SJC/24/IT/259,Neha Verma,IT,B.Tech
SJC/24/IT/260,Sara Gupta,IT,B.Tech
SJC/24/CSE/261,Rohit Reddy,CSE,B.Tech
SJC/24/CSE/262,Abhishek Nair,CSE,B.Tech
SJC/24/CSE/263,Akshay Bhat,CSE,MCA
SJC/24/CSE/264,Anand Desai,CSE,B.Tech
SJC/24/CSE/265,Aryan Iyer,CSE,B.Tech
SJC/24/CSE/266,Divya Joshi,CSE,B.Tech
SJC/24/CSE/267,Isha Kapoor,CSE,M.Tech
SJC/24/CSE/268,Jaya Malhotra,CSE,B.Tech
SJC/24/CSE/269,Kavya Mishra,CSE,B.Tech
SJC/24/CSE/270,Lakshmi Pandey,CSE,B.Tech
SJC/24/ECE/271,Madhav Rao,ECE,B.Tech
SJC/24/ECE/272,Nandini Saxena,ECE,B.Tech
SJC/24/ECE/273,Omkar Tripathi,ECE,MCA
SJC/24/ECE/274,Pavana Upadhyay,ECE,B.Tech
SJC/24/ECE/275,Quincy Kumar,ECE,B.Tech
SJC/24/ECE/276,Rajesh Singh,ECE,B.Tech
SJC/24/ECE/277,Sameer Patel,ECE,M.Tech
SJC/24/ECE/278,Tanvi Sharma,ECE,B.Tech
SJC/24/ECE/279,Uday Verma,ECE,B.Tech
SJC/24/ECE/280,Varun Gupta,ECE,B.Tech
SJC/24/ME/281,Aarav Reddy,ME,B.Tech
SJC/24/ME/282,Vivaan Nair,ME,B.Tech
SJC/24/ME/283,Arjun Bhat,ME,MCA
SJC/24/ME/284,Rohan Desai,ME,B.Tech
SJC/24/ME/285,Aditya Iyer,ME,B.Tech
SJC/24/ME/286,Priya Joshi,ME,B.Tech
SJC/24/ME/287,Anjali Kapoor,ME,M.Tech
SJC/24/ME/288,Sneha Malhotra,ME,B.Tech
SJC/24/ME/289,Ravi Mishra,ME,B.Tech
SJC/24/ME/290,Amit Pandey,ME,B.Tech
SJC/24/CIVIL/291,Sanjay Rao,CIVIL,B.Tech
SJC/24/CIVIL/292,Vikram Saxena,CIVIL,B.Tech
SJC/24/CIVIL/293,Mayank Tripathi,CIVIL,MCA
SJC/24/CIVIL/294,Harsh Upadhyay,CIVIL,B.Tech
SJC/24/CIVIL/295,Nikhil Kumar,CIVIL,B.Tech
SJC/24/CIVIL/296,Pooja Singh,CIVIL,B.Tech
SJC/24/CIVIL/297,Rachael Patel,CIVIL,M.Tech
SJC/24/CIVIL/298,Deepika Sharma,CIVIL,B.Tech
SJC/24/CIVIL/299,Neha Verma,CIVIL,B.Tech
SJC/24/CIVIL/300,Sara Gupta,CIVIL,B.Tech
SJC/24/EEE/301,Rohit Reddy,EEE,B.Tech
SJC/24/EEE/302,Abhishek Nair,EEE,B.Tech
SJC/24/EEE/303,Akshay Bhat,EEE,MCA
SJC/24/EEE/304,Anand Desai,EEE,B.Tech
SJC/24/EEE/305,Aryan Iyer,EEE,B.Tech
SJC/24/EEE/306,Divya Joshi,EEE,B.Tech
SJC/24/EEE/307,Isha Kapoor,EEE,M.Tech
SJC/24/EEE/308,Jaya Malhotra,EEE,B.Tech
SJC/24/EEE/309,Kavya Mishra,EEE,B.Tech
SJC/24/EEE/310,Lakshmi Pandey,EEE,B.Tech
SJC/24/IT/311,Madhav Rao,IT,B.Tech
SJC/24/IT/312,Nandini Saxena,IT,B.Tech
SJC/24/IT/313,Omkar Tripathi,IT,MCA
SJC/24/IT/314,Pavana Upadhyay,IT,B.Tech
SJC/24/IT/315,Quincy Kumar,IT,B.Tech
SJC/24/IT/316,Rajesh Singh,IT,B.Tech
SJC/24/IT/317,Sameer Patel,IT,M.Tech
SJC/24/IT/318,Tanvi Sharma,IT,B.Tech
SJC/24/IT/319,Uday Verma,IT,B.Tech
SJC/24/IT/320,Varun Gupta,IT,B.Tech
SJC/24/CSE/321,Aarav Kumar,CSE,B.Tech
SJC/24/CSE/322,Vivaan Singh,CSE,B.Tech
SJC/24/CSE/323,Arjun Patel,CSE,MCA
SJC/24/CSE/324,Rohan Sharma,CSE,B.Tech
SJC/24/CSE/325,Aditya Verma,CSE,B.Tech
SJC/24/CSE/326,Priya Gupta,CSE,B.Tech
SJC/24/CSE/327,Anjali Reddy,CSE,M.Tech
SJC/24/CSE/328,Sneha Nair,CSE,B.Tech
SJC/24/CSE/329,Ravi Bhat,CSE,B.Tech
SJC/24/CSE/330,Amit Desai,CSE,B.Tech
SJC/24/ECE/331,Sanjay Iyer,ECE,B.Tech
SJC/24/ECE/332,Vikram Joshi,ECE,B.Tech
SJC/24/ECE/333,Mayank Kapoor,ECE,MCA
SJC/24/ECE/334,Harsh Malhotra,ECE,B.Tech
SJC/24/ECE/335,Nikhil Mishra,ECE,B.Tech
SJC/24/ECE/336,Pooja Pandey,ECE,B.Tech
SJC/24/ECE/337,Rachael Rao,ECE,M.Tech
SJC/24/ECE/338,Deepika Saxena,ECE,B.Tech
SJC/24/ECE/339,Neha Tripathi,ECE,B.Tech
SJC/24/ECE/340,Sara Upadhyay,ECE,B.Tech
SJC/24/ME/341,Rohit Kumar,ME,B.Tech
SJC/24/ME/342,Abhishek Singh,ME,B.Tech
SJC/24/ME/343,Akshay Patel,ME,MCA
SJC/24/ME/344,Anand Sharma,ME,B.Tech
SJC/24/ME/345,Aryan Verma,ME,B.Tech
SJC/24/ME/346,Divya Gupta,ME,B.Tech
SJC/24/ME/347,Isha Reddy,ME,M.Tech
SJC/24/ME/348,Jaya Nair,ME,B.Tech
SJC/24/ME/349,Kavya Bhat,ME,B.Tech
SJC/24/ME/350,Lakshmi Desai,ME,B.Tech
SJC/24/CIVIL/351,Madhav Iyer,CIVIL,B.Tech
SJC/24/CIVIL/352,Nandini Joshi,CIVIL,B.Tech
SJC/24/CIVIL/353,Omkar Kapoor,CIVIL,MCA
